id,name,max_guests,max_stay,review_count,per_night,cleaning,service
592,Carrie Lebsack,1,28,142,267,0,57
593,Austin Grady,11,10,446,606,0,33
594,Mandy Rippin MD,15,11,363,167,13,95
595,Gilbert Anderson,11,3,251,603,0,94
596,Lowell Green,12,25,208,327,0,37
597,Kelly Dare,7,6,270,325,24,20
598,Mike Hettinger Sr.,1,19,313,350,0,65
599,Rufus Price,3,9,462,417,0,43
600,Jerald Marquardt Sr.,9,8,90,253,100,68
601,Anita Torp MD,2,30,54,56,0,58
602,Bessie Cremin,5,8,280,363,0,20
603,Arlene Zemlak,14,22,212,126,39,40
604,Janet Ebert,2,5,494,237,0,38
605,Marjorie Herman,7,8,285,643,0,40
606,Mrs. Dixie Gulgowski,11,9,196,122,51,76
607,Jean Rippin,15,7,69,707,0,32
608,April Purdy,4,21,214,610,0,53
609,Lola Bins,9,18,417,385,41,44
610,Bert Gorczany II,4,24,108,63,0,81
611,Doug Schultz,6,6,102,288,0,58
612,Alyssa Grant,8,8,140,259,98,41
613,Ida Reinger,10,25,240,713,0,73
614,Jeffrey Runolfsdottir,7,13,120,689,0,90
615,Jeannie Bartell,3,13,334,135,79,26
616,Gilbert Kirlin,4,29,161,92,0,45
617,Jeremy Metz MD,6,11,128,317,0,27
618,Leonard Tillman,8,21,342,787,89,42
619,Silvia Mohr,13,8,361,702,0,32
620,Lewis Friesen,11,6,417,295,0,47
621,Lorena Koss,16,11,66,112,61,22
622,Misty Hayes,9,3,378,585,0,37
623,Bill Howe,5,31,199,634,0,30
624,Jonathon Stark,12,4,301,194,59,22
625,Roland Rolfson PhD,6,13,302,507,0,95
626,Armando Cruickshank,2,18,33,792,0,25
627,Grant Stracke,15,3,231,67,76,93
628,Linda Lueilwitz,5,8,388,469,0,54
629,Verna Mayert,12,4,33,395,0,48
630,Irma O'Reilly,16,18,32,794,89,51
631,Debra Zemlak Sr.,7,6,252,358,0,68
632,Agnes Pacocha,6,3,214,296,0,94
633,Neil Jakubowski,12,21,309,236,84,32
634,Tyrone Doyle,11,14,319,207,0,70
635,Alyssa Goldner,11,22,346,793,0,72
636,Miss Clarence Weissnat,3,12,147,558,61,42
637,Dominic Hills,4,6,365,562,0,84
638,Cary Labadie,13,15,276,503,0,28
639,Guy Nikolaus PhD,5,12,166,205,17,81
640,Mrs. Alton Wilkinson,15,18,14,760,0,24
641,Dixie Cole,14,30,263,719,0,34
642,Lindsey McCullough,1,27,465,411,40,59
643,Don Smitham,1,21,168,410,0,93
644,Elvira Mosciski III,3,4,254,564,0,80
645,Alberto Leannon,16,8,419,347,42,61
646,Miss Andre Orn,9,14,278,560,0,83
647,Lynn Witting PhD,10,21,67,584,0,46
648,May Glover Jr.,16,20,326,202,31,76
649,Nicole Towne,15,31,458,355,0,33
650,Keith Huel,8,13,77,667,0,52
651,Hilda Veum,16,13,129,545,56,99
652,Dr. June Quitzon,16,12,20,223,0,100
653,Mr. Guadalupe Grady,13,2,320,484,0,69
654,Rogelio Franecki,15,2,373,189,20,53
655,Aubrey Heaney,15,8,367,354,0,77
656,Olivia Dibbert III,7,13,66,240,0,54
657,Esther Rutherford,12,22,316,395,71,31
658,Cynthia Mills,1,14,484,780,0,74
659,Miss Violet Ebert,4,29,10,786,0,85
660,Miss Leonard Blick,5,22,41,208,25,25
661,Angel Romaguera,4,13,325,78,0,82
662,Ms. Juanita Schinner,14,26,456,716,0,62
663,Mae Barrows,15,25,432,581,41,38
664,Ollie Lockman,7,13,420,169,0,82
665,Misty Stanton,9,16,462,719,0,100
666,Max Windler,6,18,392,597,36,65
667,Denise Casper MD,10,15,489,196,0,72
668,Clyde Schumm,2,23,453,84,0,94
669,Becky Tillman,14,8,436,783,64,64
670,Lester Steuber,3,20,60,731,0,96
671,Winifred Murazik II,13,21,492,494,0,23
672,Courtney Barrows,12,24,222,302,28,62
673,Anne Dooley,4,2,397,392,0,22
674,Melody Kihn,15,7,150,423,0,92
675,Arlene Cummings DDS,13,29,468,737,96,86
676,Alfredo Miller II,5,20,89,53,0,82
677,Dr. Hugh Kerluke,1,27,407,652,0,89
678,Clayton Legros,5,25,168,612,65,88
679,Ginger Purdy,12,9,377,425,0,96
680,Ms. Cecilia Hilpert,3,12,278,71,0,71
681,Ms. Eduardo Lesch,12,29,359,768,84,62
682,Max Bernhard,14,20,295,452,0,29
683,Aubrey Aufderhar,3,4,369,418,0,84
684,Steven Huels,14,26,161,90,72,38
685,Timmy DuBuque,6,28,11,735,0,89
686,Karl Abbott III,7,26,190,160,0,20
687,Chester Raynor,11,25,286,498,20,82
688,Kirk Wolff,5,7,313,497,0,73
689,Eloise Hodkiewicz,3,23,310,706,0,47
690,Javier Douglas,15,19,441,722,61,27
691,Lois Blick,14,29,110,275,0,21
692,Gretchen Kerluke,6,3,280,362,0,43
693,Carol Ruecker I,6,14,480,742,31,37
694,Dr. Bradley Hand,16,31,45,597,0,55
695,Lynn Marquardt,1,2,42,432,0,50
696,Allison Vandervort,9,7,398,394,39,96
697,Mr. Lillie Breitenberg,6,27,254,481,0,76
698,Mattie Murray I,3,15,190,99,0,79
699,Mrs. Joseph Hoppe,11,12,313,257,21,74
700,Jeremy Emard,4,16,187,571,0,27
701,Willard Satterfield,7,10,287,763,0,94
702,Matthew Little,14,9,41,271,11,49
703,Sonja Zulauf,15,19,414,736,0,82
704,Miss Mario Deckow,3,31,444,794,0,44
705,Victor Brekke,16,21,129,68,10,70
706,Clayton Schaden,4,10,327,511,0,78
707,Laurence Lockman,1,2,84,230,0,100
708,Julie Dicki MD,4,26,320,323,73,84
709,Johanna Johns PhD,16,19,363,564,0,25
710,Mabel Strosin,8,8,12,115,0,26
711,Vicki Kulas,1,24,360,800,26,68
712,Carl Mills,14,5,173,439,0,77
713,Yolanda D'Amore,6,23,148,110,0,93
714,Tonya White,12,18,221,284,77,23
715,Cedric Kunde,15,2,425,226,0,76
716,Jesus Romaguera,12,6,299,611,0,62
717,Patti Lakin,6,17,252,764,50,82
718,Ron Abshire,12,7,82,188,0,92
719,Charlotte Dare,4,25,368,685,0,87
720,Molly Cassin I,11,23,418,428,63,58
721,Mr. Rose Willms,12,17,183,197,0,27
722,Miss Ellen Harvey,10,19,74,266,0,84
723,Dr. Juanita Reynolds,2,14,230,242,18,29
724,Jasmine Wiegand DVM,9,6,405,648,0,93
725,Carla Schowalter,12,3,281,418,0,71
726,Rosemary Fritsch,8,27,153,561,70,38
727,Becky Langosh,1,18,241,605,0,46
728,Miss Kerry Pfeffer,1,3,414,66,0,35
729,Wilbert Denesik,11,20,474,543,35,89
730,Nora Leannon,2,17,100,324,0,63
731,Jackie Bednar,3,12,308,453,0,46
732,Melody Kiehn,9,4,409,357,76,27
733,Mrs. Lowell Walter,8,29,140,602,0,79
734,Miranda Murphy MD,4,21,412,524,0,48
735,Dustin Collins,8,28,357,600,49,56
736,Kellie McLaughlin,6,23,155,642,0,69
737,Melba Larson,8,20,375,113,0,34
738,Percy Bosco,9,13,174,682,78,82
739,Latoya Hackett MD,8,9,114,193,0,29
740,Margie Boehm,13,11,266,407,0,67
741,Dexter Mante DDS,6,28,56,540,93,30
742,Jim Turner,13,4,353,338,0,67
743,Warren Rippin,7,28,254,756,0,86
744,Leon Stokes,10,22,481,504,50,71
745,Clyde Wolff,3,13,230,111,0,53
746,Doyle Weimann,12,26,128,266,0,31
747,Harvey Kling,12,3,278,514,41,96
748,Miss Emily Rau,15,8,248,328,0,55
749,Mrs. Bonnie Hand,16,10,42,543,0,38
750,Renee Fritsch,7,14,414,360,22,36
751,Colin Torphy,4,17,288,93,0,47
752,Erma Bosco,6,2,473,661,0,51
753,Willard Kunze,10,23,385,229,17,60
754,Preston Gusikowski,5,7,482,738,0,88
755,Irma Simonis DVM,3,9,243,224,0,100
756,Mrs. Jill Glover,1,23,371,195,82,30
757,Sophia Stracke,14,28,478,151,0,52
758,Ivan Will,3,3,394,628,0,75
759,Dr. Colin Altenwerth,12,9,210,629,97,36
760,Patty Hills,16,24,220,432,0,96
761,Kyle Turcotte,14,5,186,87,0,83
762,Jacob Kuvalis,7,20,420,278,16,50
763,Joel Corwin,11,11,182,436,0,80
764,Geoffrey Mills,8,29,89,219,0,44
765,Mr. Alonzo Mertz,8,28,304,575,80,86
766,Johanna Ziemann,13,17,394,793,0,36
767,Mercedes Moen,16,5,97,670,0,20
768,Melody Streich,3,29,169,384,83,97
769,Rita Ledner,15,25,335,103,0,71
770,Erma Schuppe,16,25,330,661,0,43
771,Geraldine Funk,5,12,78,759,79,35
772,Katherine Tromp,4,2,32,480,0,86
773,Rufus Dickinson,10,6,470,422,0,57
774,Anna Kuphal,9,10,411,99,19,24
775,Sonya Dare,10,28,101,406,0,91
776,Miss Rosie McLaughlin,10,7,271,299,0,21
777,Mona Gibson Sr.,5,26,204,402,29,52
778,Gary Carter,12,19,54,457,0,41
779,Marilyn Bogan,1,11,243,371,0,42
780,Glenda Beer,12,23,102,480,43,27
781,Marion King,10,14,317,532,0,59
782,Wilbert Glover MD,15,20,409,622,0,37
783,George Dietrich,1,24,470,84,21,59
784,Tracy O'Reilly,15,3,159,641,0,90
785,Ken Olson,11,13,100,312,0,53
786,Paulette Marks,7,12,357,182,15,44
787,Wayne Quitzon,8,28,253,384,0,25
788,Tabitha Hermann,7,5,401,204,0,91
789,Omar Hills,14,23,467,304,19,24
790,Dr. Wilma Jast,15,27,428,286,0,34
791,Samantha McCullough,14,13,490,719,0,60
792,Melody Marks,11,18,216,725,82,27
793,Elizabeth Stoltenberg,15,15,121,473,0,34
794,Terence Ortiz,8,14,22,732,0,58
795,Betsy Hills,13,25,428,83,64,58
796,Jody Franecki Jr.,15,12,396,765,0,28
797,Terrell Schimmel,11,30,322,201,0,62
798,Mr. Sheri Emmerich,16,4,128,311,14,74
799,Wayne Rodriguez,14,23,99,799,0,81
800,Thelma Lind,8,15,139,568,0,74
801,Laurie McKenzie,12,14,167,686,94,27
802,Jermaine Kozey,11,22,202,759,0,71
803,Hector Hartmann V,2,5,325,734,0,55
804,Lynette Ratke IV,13,19,207,295,22,90
805,Gregg Green,1,7,145,646,0,21
806,Ms. Vanessa Hagenes,6,21,136,393,0,37
807,Alma Okuneva,6,27,190,303,28,90
808,Faith Douglas,8,31,46,639,0,36
809,Johnnie Stokes DDS,13,24,316,485,0,47
810,Josefina Huel,4,8,217,362,31,95
811,Rodney Hoeger,15,30,413,496,0,75
812,Mrs. Jasmine Keebler,13,20,154,757,0,76
813,Tiffany Fadel,8,5,447,261,31,27
814,Mrs. Lawrence Connelly,4,13,404,355,0,57
815,Enrique Jones,10,19,419,743,0,38
816,Sophie Steuber,8,31,159,595,87,84
817,Edwin Douglas,15,19,342,215,0,66
818,Brooke Waelchi,13,11,301,522,0,94
819,Lula Beer Sr.,14,23,365,633,74,92
820,Jeff Johns,5,4,374,60,0,86
821,Cynthia Schuster,12,23,192,351,0,42
822,Sylvia Gleichner,7,12,466,329,91,64
823,Sonja Kunze Jr.,6,11,372,212,0,33
824,Jonathon Jacobs,4,9,349,153,0,96
825,Mr. Moses Beier,7,29,397,173,49,82
826,Harvey O'Conner,7,17,158,576,0,41
827,Alexis Von,16,19,310,310,0,52
828,Jay Goyette,4,6,89,348,72,73
829,Clark Prohaska,2,17,158,611,0,20
830,Sally Conn,9,16,179,345,0,72
831,Micheal Schmeler,4,19,191,695,30,36
832,Christine Herzog,3,7,303,352,0,96
833,Don McCullough,12,4,172,500,0,52
834,Gina Green,6,23,101,157,92,52
835,Scott Fritsch,11,29,173,392,0,25
836,Luis Flatley,5,24,209,442,0,24
837,Josh Gulgowski,10,5,170,567,59,66
838,Brett Rowe,2,23,456,439,0,29
839,Lorene Jones,8,26,213,658,0,46
840,Manuel Gibson V,15,27,383,310,53,39
841,Dr. Winston Stark,3,24,24,159,0,83
842,Julius Veum MD,13,17,26,748,0,73
843,Abel Hilpert,6,26,435,385,42,68
844,Bernice Jones,8,24,60,798,0,61
845,Ebony Klein,9,24,103,446,0,99
846,Hannah Schuppe,5,19,21,73,78,31
847,Rodolfo Glover,12,4,191,517,0,91
848,Sabrina Graham,4,14,87,619,0,96
849,Jody Volkman,8,6,402,739,35,44
850,Reginald Johns,5,8,278,98,0,69
851,Angel Haley,9,31,202,333,0,35
852,Carole Corwin,11,12,144,348,49,40
853,Michele Turcotte,7,7,268,672,0,65
854,Janis Stroman MD,10,12,169,539,0,72
855,Dianne Gusikowski,14,31,109,686,23,64
856,Hubert Cronin,7,20,141,638,0,57
857,Whitney Willms,4,24,24,591,0,70
858,Brooke Schumm DVM,13,23,190,423,46,51
859,Stacey Robel,8,11,330,680,0,53
860,Lola VonRueden,7,16,324,772,0,27
861,Janice Hand,15,27,159,483,90,37
862,Cecilia Gleason,15,29,121,617,0,85
863,Morris Wunsch,1,11,62,109,0,90
864,Wilma Mraz,8,21,164,755,89,98
865,Audrey Abbott,15,12,437,112,0,98
866,Jan Quigley,13,9,359,636,0,67
867,Clint Purdy,3,28,81,208,64,62
868,Ernest Flatley,13,12,175,789,0,58
869,Jake Kozey,1,17,266,671,0,27
870,Gene Bartell,9,14,148,477,22,63
871,Clyde Breitenberg,12,11,197,270,0,41
872,Dominic Block,15,6,256,205,0,76
873,Annie Conn,15,26,422,688,42,94
874,Jamie Mitchell,13,23,228,689,0,20
875,Phil Tremblay,11,8,75,694,0,88
876,Janie Johnston Sr.,7,24,325,459,43,59
877,Courtney Wilkinson,10,31,227,140,0,82
878,Nichole Bartell,16,18,11,780,0,90
879,Ricky Harris,12,5,471,371,47,61
880,Mandy Bahringer,12,2,216,498,0,21
881,Salvatore Wisozk,10,20,473,575,0,72
882,Colleen King MD,8,9,85,278,48,64
883,Madeline Hamill,14,4,257,426,0,75
884,Lee Turcotte,6,28,459,664,0,32
885,Lucas Kohler PhD,2,8,37,171,43,59
886,Carolyn Adams,4,9,377,605,0,30
887,Nora Erdman,5,19,153,195,0,58
888,Miss Angie Tillman,10,2,230,799,84,82
889,Teresa Smitham,13,3,318,666,0,45
890,Lula Wuckert,6,17,278,132,0,71
891,Miss Karl Friesen,12,13,157,496,56,85
892,Elizabeth Simonis,10,26,305,142,0,75
893,Ruby Medhurst,12,7,415,358,0,54
894,Cathy Zulauf,7,28,366,148,43,85
895,Mrs. Tyrone Adams,13,10,131,161,0,52
896,Dana Lueilwitz,5,8,218,547,0,69
897,Kathleen Hane,2,27,474,417,78,76
898,Ramon Blanda,11,15,454,362,0,27
899,Miss Esther Moen,7,22,274,102,0,61
900,Linda Boyle,4,4,276,435,82,26
901,Nicholas Kshlerin,5,9,405,447,0,25
902,Velma Reinger,11,4,308,717,0,30
903,Caroline Beatty,1,3,193,175,17,69
904,Mrs. Johnnie Koelpin,12,21,346,66,0,70
905,Clifford Auer,16,20,13,541,0,40
906,Peggy Dooley,10,10,277,616,21,56
907,Tina Considine,11,4,366,309,0,69
908,Theodore Yost,1,13,117,345,0,57
909,Roman Dare,13,21,133,91,35,98
910,Pearl Stracke,13,5,132,388,0,97
911,Antonio Parisian,1,23,314,623,0,34
912,Wesley Hintz,2,16,469,275,77,35
913,Mercedes Tromp,16,15,361,644,0,95
914,Patsy Senger,6,8,350,322,0,99
915,Hubert Mertz,15,24,295,135,98,85
916,Ms. Miguel Mraz,4,16,390,136,0,85
917,Ryan Friesen,4,26,400,52,0,30
918,Aubrey Bechtelar,13,17,111,738,82,89
919,Rufus Ebert,15,5,460,147,0,72
920,Dr. Katherine Haley,14,14,412,263,0,28
921,Dana O'Conner,12,28,485,433,85,65
922,Estelle Rice,6,28,200,313,0,38
923,Ms. Leo Carroll,15,27,211,705,0,88
924,Al Kessler,5,12,108,283,39,47
925,Rachel Jast,1,30,321,55,0,34
926,Felicia Kirlin,1,26,121,174,0,79
927,Arlene Hodkiewicz,1,30,238,711,39,92
928,Geneva Connelly,15,5,260,575,0,31
929,Thelma Koss,7,25,274,148,0,34
930,Miss Jerald Pacocha,10,23,366,761,60,49
931,Vicky Beatty,15,20,374,676,0,68
932,Sammy Willms,9,9,163,709,0,30
933,Kent Hauck,16,24,497,202,58,84
934,Irma Herzog,14,30,13,379,0,84
935,Lindsey Kautzer III,2,14,411,601,0,97
936,Wm Schaden,11,18,193,754,45,26
937,Jasmine Lueilwitz,5,3,255,420,0,93
938,Natasha Murphy,12,21,228,631,0,91
939,Rafael Nicolas,5,6,360,588,99,23
940,Jay Prosacco,14,30,200,316,0,80
941,Gilberto Marvin V,3,18,256,80,0,37
942,Christine Hessel,15,3,147,284,70,91
943,Marlon Stoltenberg,8,2,139,766,0,67
944,Manuel Kunze,14,11,294,621,0,61
945,Adrian Bechtelar I,2,26,265,526,94,99
946,Elaine Rolfson V,14,14,123,613,0,100
947,Mrs. Barry Murphy,14,17,275,714,0,38
948,Dr. Joyce Robel,12,5,451,788,97,81
949,Jaime Friesen,1,24,479,95,0,49
950,Patsy Yost,13,9,333,636,0,25
951,Veronica Grant,10,24,404,475,63,86
952,Krista Cummings,15,27,420,667,0,33
953,Toni Price,16,6,163,355,0,68
954,Georgia Weissnat,15,14,69,156,28,33
955,Luke Harber,10,30,174,790,0,87
956,Brittany Williamson,10,5,93,525,0,57
957,Jack Corkery,3,4,242,412,37,91
958,Billie Brakus,6,16,284,638,0,74
959,Jessie Denesik,7,29,250,753,0,94
960,Marshall Treutel,6,12,164,779,74,26
961,Rosalie Stokes,12,7,254,150,0,79
962,Darryl Runolfsdottir,7,3,374,371,0,50
963,Shawna Quigley,1,20,339,131,58,36
964,Andrew VonRueden,10,16,161,441,0,58
965,Jill Flatley,5,6,379,799,0,77
966,Kate Friesen,6,20,364,574,64,57
967,Myra Mann,6,2,208,489,0,70
968,Lucas Hagenes,6,18,64,307,0,63
969,Marvin Frami,8,2,148,124,87,66
970,Elaine Bogan,16,14,265,564,0,80
971,Cora Erdman,12,2,260,746,0,94
972,Ms. Betsy Kuhn,6,18,232,392,48,96
973,Maxine Senger,13,23,261,272,0,35
974,Gwen Wilderman,8,12,294,714,0,27
975,Sean Hauck V,11,28,219,329,61,62
976,Tanya Lemke,16,19,273,596,0,80
977,Henrietta Haley Sr.,15,7,314,706,0,88
978,Patti Huel,3,28,88,613,22,77
979,Omar Hilpert,14,4,66,419,0,66
980,Amos Morar,12,4,86,434,0,90
981,Toby Littel,3,31,489,466,60,36
982,Van Luettgen,7,25,466,645,0,33
983,Cesar Herman,4,4,85,673,0,26
984,Marcus Becker,15,16,113,361,85,20
985,Bessie Kihn,2,12,340,720,0,100
986,Shelia Hartmann,4,15,149,535,0,78
987,Jeanette Bogisich Jr.,11,8,171,491,11,20
988,Dean Cassin,4,9,217,441,0,96
989,Ms. Lamar Hessel,15,12,463,203,0,60
990,Isabel Miller,4,16,335,748,54,66
991,Charlie Lubowitz,15,16,121,746,0,91
992,Preston Stoltenberg,16,10,384,467,0,65
993,Rufus Walsh,7,2,292,265,26,44
994,Mattie Reynolds,4,24,198,575,0,88
995,Josephine Bednar,15,4,444,623,0,79
996,Leland Medhurst,16,15,418,324,17,79
997,Sara Stanton,16,12,104,768,0,74
998,Alvin Lehner,12,7,494,92,0,95
999,Moses Swift,5,23,295,667,79,50
1000,Howard Jones,2,16,182,133,0,97
